Label,starting,1step,best Combi,refinement From BestCombi,Cheeting Starting Values2,after Cheeting Optim2
 F{1}Or, 2017.0, 2017.014137    , 2017.014137    , 2017.014786    , 2017.014137    , 2017.013827    
 F{3}Me, 1977.0, 1976.975376    , 1976.975376    , 1976.975438    , 1976.975376    , 1976.975067    
 F{5}Pa, 1959.0, 1959.101565    , 1959.101565    , 1959.101404    , 1959.101565    , 1959.102330    
 F{6}Al, 1820.0, 1819.738003    , 1819.738003    , 1819.736277    , 1819.738003    , 1819.736729    
 F{7}Be, 1526.0, 1526.187320    , 1526.187320    , 1526.189082    , 1526.187320    , 1526.189678    
 F{8}Be, 1367.0, 1366.973127    , 1366.973127    , 1366.974684    , 1366.973127    , 1366.975267    
 J{1-2},    2.0,    1.920688    ,    1.920688    ,    1.918898    ,    1.920688    ,    1.916969    
 J{1-3},    7.5,    7.787295    ,    7.787295    ,    7.787105    ,    7.787295    ,    7.788322    
 J{1-4},    0.0,    0.606386    ,    0.606386    ,    0.606749    ,    0.606386    ,    0.606049    
 J{1-5},    2.0,    1.247449    ,    1.247449    ,    1.248573    ,    1.247449    ,    1.244700    
 J{1-6},    0.0,   -0.524731    ,   -0.524731    ,   -0.532935    ,   -0.53,   -0.534687    
 J{1-7},    0.0,    0.036317    ,   -0.036317    ,   -0.035311    ,    0.04,    0.038968    
 J{1-8},    0.0,   -0.159307    ,    0.159307    ,    0.158381    ,    0.159307    ,    0.158238    
 J{3-4},    2.0,    1.418898    ,    1.418898    ,    1.417128    ,    1.418898    ,    1.418410    
 J{3-5},    7.5,    7.438388    ,    7.438388    ,    7.438869    ,    7.44,    7.438923    
 J{3-6},    0.0,   -0.338905    ,    0.338905    ,    0.348951    ,    0.37,    0.369242    
 J{3-7},    0.0,   -0.019208    ,   -0.019208    ,   -0.038207    ,   -0.04,   -0.041618    
 J{3-8},    0.0,    0.038035    ,   -0.038035    ,    0.014385    ,    0.02,    0.016890    
 J{5-6},    0.0,   -0.156056    ,    0.156056    ,    0.153164    ,   -0.23,   -0.227909    
 J{5-7},    0.0,   -0.228198    ,   -0.228198    ,    0.234550    ,    0.23,    0.234891    
 J{5-8},    0.0,   -0.297087    ,    0.297087    ,    0.291110    ,    0.297087    ,    0.290480    
 J{6-7},   17.0,   17.600395    ,   17.600395    ,   17.600433    ,   17.600395    ,   17.600060    
 J{6-8},   11.0,   10.895423    ,   10.895423    ,   10.895411    ,   10.895423    ,   10.895332    
 J{7-8},    1.0,    1.038136    ,    1.038136    ,    1.038166    ,    1.038136    ,    1.038172    
 Linewi,    0.05,    0.055772    ,    0.055772    ,    0.053457    ,    0.055772    ,    0.048474    
 Magnit,    1.0e6,1.629675e+08    ,1.629675e+08    ,1.616600e+08    ,1.629675e+08    ,1.660311e+08    
R-Factor,100,13.67,13.50,12.22,100,5.85 
